Row #,Facility,TRIF ID,Latitude,Longitude,Total On-site,Total Off-site,Total On- and 
310,"VCNA PRAIRIE LLC - YARD 1008.385 E TOUHY AVE, DES PLAINES ILLINOIS 60018 (COOK)",60018PRRMT385ET,42.007,-87.914,0.0766552,0,0.0766552
311,"VCNA PRAIRIE LLC - YARD 1015.1220 W 171ST ST, HAZEL CREST ILLINOIS 60429 (COOK)",60429PRRMT122W1,41.582,-87.647,0.0088463,0,0.0088463
312,"VCNA PRAIRIE LLC - YARD 1021.2900 OLD WILLOW RD, GLENVIEW ILLINOIS 60025 (COOK)",60025PRRMT29LDW,42.099,-87.816,0.0242746,0,0.0242746
313,"VCNA PRAIRIE LLC - YARD 1033.3300 S CALIFORNIA, CHICAGO ILLINOIS 60608 (COOK)",60608PRRMT33SCA,41.833,-87.697,0.0475767,0,0.0475767
314,"VCNA PRAIRIE LLC - YARD 1147.2502 SOUTH LAFLIN STREET, CHICAGO ILLINOIS 60608 (COOK)",6060WVCNPR252SU,41.846,-87.664,0.0081929,0,0.0081929
315,"VCNA PRAIRIE LLC-YARD 1032.865 N PEORIA, CHICAGO ILLINOIS 60622 (COOK)",60622PRRMT865NP,41.897,-87.65,0.095689,0,0.095689
316,"VESUVIUS USA-CHICAGO HEIGHTS PLANT.333 STATE ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411CMBST333ST,41.523,-87.614,1,726,727
317,"VIANT WHEELING INC.140 E HINTZ RD, WHEELING ILLINOIS 60090 (COOK)",60090SPCTR140EH,42.125,-87.913,3,105,108
318,"VIDEOJET TECHNOLOGIES INC.1855 ESTES AVE, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",60007VDJTS1855E,42.007,-87.954,"2,336.40",0,"2,336.40"
319,"VOESTALPINE NORTRAK INC.2705 S STATE ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411BCNCN2705S,41.488,-87.616,14,0,14
320,"VORTEQ COIL FINISHERS.11440 ADDISON AVE, FRANKLIN PARK ILLINOIS 60131 (COOK)",6013WWSMRQ1144W,41.943,-87.911,"3,842.00",606,"4,448.00"
321,"W R GRACE & CO.4099 W 71ST ST, CHICAGO ILLINOIS 60629 (COOK)",60629KTLCD4099W,41.763,-87.724,"16,025.00","113,343.40","129,368.40"
322,"WABCO.8400 S STEWART AVE, CHICAGO ILLINOIS 60620 (COOK)",60620WBCXX8400S,41.743,-87.634,10,0,10
323,"WATER SAVER FAUCET CO.701 W ERIE ST, CHICAGO ILLINOIS 60654 (COOK)",60610WTRSV701WE,41.893,-87.646,10.35,22.56,32.91
324,"WELSCH MORGAN STREET PLANT.2330 S MORGAN ST, CHICAGO ILLINOIS 60608 (COOK)",6060WWLSCH233SM,41.85,-87.652,0.088,0,0.088
325,"WEST TOWN PLATING INC.5243 W 25TH PL, CICERO ILLINOIS 60804 (COOK)",60650WSTTW5243W,41.844,-87.756,18,5.89,23.89
326,"WHEATLAND TUBE CO - CHICAGO DIV.4435 S WESTERN BLVD, CHICAGO ILLINOIS 60609 (COOK)",60609MNLYL4435S,41.81,-87.681,"67,843.00","11,547.57","79,390.57"
327,"WIELAND METALS INC.567 NORTHGATE PKWY, WHEELING ILLINOIS 60090 (COOK)",60090WLNDM567NO,42.15,-87.927,10,0.2,10.2
328,"WILLE BROTHERS LEMONT.13011 GRANT RD, LEMONT ILLINOIS 60439 (COOK)",6043WWLLBR1311G,.,.,0,0,0
329,"WILLE BROTHERS OAK FOREST.15800 LAMON AVE, OAK FOREST ILLINOIS 60452 (COOK)",6045WWLLBR158LA,41.604,-87.74,0,0,0
330,"WILLE BROTHERS SAUK VILLAGE.22500 SAUK POINTE DRIVE, SAUK VILLAGE ILLINOIS 60411 (COOK)",6041WWLLBR225SA,41.481,-87.582,0,0,0
331,"WILLIAMS-HAYWARD PROTECTIVE COATINGS INC.7425 W 59TH ST, SUMMIT ARGO ILLINOIS 60501 (COOK)",6050WWLLMS7425W,.,.,0,0,0
332,"WILLIAMS-HAYWARD PROTECTIVE COATINGS INC.5241 W 70TH PL, BEDFORD PARK ILLINOIS 60638 (COOK)",60638WLLMS5241W,41.764,-87.754,"1,500.00",0,"1,500.00"
333,"XYLEM INC RESIDENTIAL & COMMERCIAL WATER.8200 N A US TIN AVE, MORTON GROVE ILLINOIS 60053 (COOK)",60053TTBLL8200N,42.029,-87.778,17.92,0,17.92
334,"ZOETIS LLC.400 STATE ST, CHICAGO HEIGHTS ILLINOIS 60411 (COOK)",60411LLBRT400ST,41.523,-87.619,510,"5,134.60","5,644.60"
